Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Sleep_Hours,Previous_Scores,Gender,Exam_Score
23,84,Low,High,7,73,Male,67
19,64,Low,Medium,8,59,Female,61
24,98,Medium,Medium,7,91,Male,74
29,89,Low,Medium,8,98,Male,71
19,92,Medium,Medium,6,65,Female,70
19,88,Medium,Medium,8,89,Male,71
29,84,Medium,Low,7,68,Male,67
25,78,Low,High,6,50,Male,66
17,94,Medium,High,6,80,Male,69
23,98,Medium,Medium,8,71,Male,72
17,80,Low,High,8,88,Male,68
17,97,Medium,High,6,87,Male,71
21,83,Medium,Medium,8,97,Male,70
9,82,Medium,Medium,8,72,Male,66
10,78,Medium,High,8,74,Male,65
17,68,Medium,Medium,8,70,Female,64
14,60,Medium,Low,10,65,Male,60
22,70,Low,Medium,6,82,Female,65
15,80,Medium,Medium,9,91,Female,67
12,75,Medium,High,7,58,Male,66
29,78,Medium,Medium,5,99,Female,69
19,99,Medium,High,6,84,Male,72
20,74,Medium,High,8,89,Female,66
11,78,High,Medium,8,100,Male,66
17,65,Low,High,5,75,Female,63
21,62,High,Low,6,54,Male,64
13,91,Low,Medium,6,90,Female,65
22,83,High,High,6,94,Male,71
16,90,Medium,Medium,4,58,Female,66
18,66,High,High,4,51,Male,64
16,83,Low,Medium,6,57,Female,63
31,70,Medium,High,7,66,Male,69
20,69,Medium,Medium,8,96,Male,67
14,60,High,Medium,5,50,Female,61
25,65,High,Medium,5,90,Female,68
13,72,Low,Medium,6,93,Male,61
21,65,Medium,Low,7,91,Female,64
8,99,Medium,Medium,9,54,Female,67
12,72,Low,Medium,8,84,Female,63
21,65,Low,Medium,6,98,Male,64
24,68,High,Medium,8,56,Male,67
21,84,Medium,Medium,6,52,Female,65
19,63,Low,High,7,94,Male,64
18,94,Medium,High,7,82,Male,70
11,98,Medium,Medium,9,82,Male,68
16,70,Medium,Medium,8,98,Male,65
17,78,Medium,Medium,6,88,Female,68
26,61,Medium,Low,6,70,Female,64
22,86,Low,Medium,7,72,Male,68
9,77,Medium,Medium,5,57,Male,63
22,71,Low,Medium,7,65,Male,64
18,68,High,Medium,7,72,Male,64
16,86,Low,Medium,8,63,Male,67
24,77,High,Low,8,96,Female,67
26,67,Medium,High,7,51,Female,66
26,88,Medium,High,5,79,Male,72
15,83,Medium,High,5,89,Female,65
18,94,Medium,Medium,6,87,Male,71
22,65,High,Low,8,82,Female,66
26,91,Medium,Low,8,71,Male,68
17,87,Medium,Medium,7,96,Female,70
19,65,Medium,Medium,10,66,Male,62
13,88,Low,High,9,88,Male,68
13,78,Medium,High,9,96,Male,67
25,98,Low,High,8,56,Male,71
28,66,Medium,High,8,97,Male,68
20,86,Medium,Medium,8,89,Male,69
26,75,Low,High,4,81,Male,70
22,98,Medium,High,5,69,Female,69
16,73,Medium,Medium,7,95,Male,65
22,98,Medium,Low,7,52,Female,70
29,96,Medium,Low,7,72,Male,71
20,71,Medium,Medium,7,88,Female,65
29,92,Low,Medium,4,91,Female,72
4,100,High,High,8,60,Male,69
25,70,Medium,Medium,7,52,Female,66
21,77,Low,Medium,7,90,Male,68
18,81,High,Low,8,71,Female,65
21,72,Medium,Medium,5,57,Male,64
8,61,Medium,Medium,7,54,Male,60
19,69,Medium,High,7,82,Male,65
22,71,High,Medium,6,79,Male,66
29,78,High,High,4,93,Male,74
17,67,Medium,Medium,5,52,Female,62
15,95,Medium,Medium,7,93,Male,70
17,88,Medium,High,7,94,Male,69
25,63,Medium,High,7,72,Male,67
22,86,Low,Low,6,54,Male,64
17,86,Medium,High,5,97,Male,71
23,98,Medium,Low,7,54,Female,68
21,60,High,Medium,7,80,Male,64
26,70,Medium,Low,8,75,Female,63
16,97,Medium,Medium,6,92,Male,71
18,97,High,Medium,4,75,Male,69
18,89,High,Medium,4,73,Female,100
11,91,Medium,Medium,6,94,Male,68
22,64,Low,Medium,7,98,Male,62
22,81,Medium,Medium,7,77,Female,68
20,69,High,High,6,73,Male,66
19,67,Low,Medium,5,92,Male,64
12,92,Medium,Medium,4,92,Male,67
17,65,Medium,High,8,66,Female,65
18,79,Medium,Medium,7,79,Male,65
15,98,High,Medium,6,58,Male,69
19,67,Medium,Medium,5,82,Male,63
22,99,Medium,Low,6,92,Male,72
31,100,Medium,Medium,7,59,Male,76
21,82,Medium,High,7,66,Female,69
22,67,Medium,Medium,7,72,Female,67
20,73,High,Medium,9,92,Male,69
8,77,High,Medium,6,87,Male,63
20,72,Medium,Medium,9,66,Male,67
20,71,Low,High,7,62,Male,66
35,99,High,High,7,85,Female,79
19,66,Medium,Medium,8,74,Female,64
22,89,High,High,6,80,Female,73
20,60,Low,High,7,82,Male,63
13,84,Medium,Medium,5,78,Male,65
27,97,Low,High,8,81,Female,73
25,72,High,High,8,94,Female,70
25,67,High,Medium,9,93,Female,68
15,86,Medium,Medium,7,57,Male,65
28,89,Low,High,9,79,Female,71
12,88,Low,Medium,6,72,Male,64
24,73,Medium,High,8,64,Male,68
33,70,Medium,Medium,6,82,Male,69
14,98,Medium,Medium,7,76,Female,69
17,97,Medium,Medium,8,89,Male,69
21,78,Medium,Medium,10,55,Male,67
17,94,Low,Medium,8,65,Female,68
11,78,Medium,High,8,51,Male,64
20,77,Medium,Medium,6,87,Female,66
14,66,High,Low,7,96,Male,63
23,77,Medium,Medium,7,79,Male,66
14,81,Medium,Medium,9,81,Female,66
29,61,Medium,High,7,52,Female,67
15,78,High,High,9,75,Male,65
18,91,Low,Medium,5,76,Female,68
25,87,Medium,Low,9,52,Male,68
13,85,High,Medium,6,89,Male,65
21,96,Medium,Medium,8,64,Male,71
28,61,Medium,High,6,86,Male,65
10,82,Medium,Low,8,70,Female,64
21,91,High,Medium,6,100,Female,72
22,82,Medium,Medium,9,61,Female,65
25,73,Medium,High,8,53,Female,66
13,65,Low,High,6,99,Male,61
12,96,Low,High,8,62,Female,68
23,79,High,High,8,82,Female,69
22,95,Medium,High,6,69,Female,72
22,83,Medium,High,5,82,Female,71
22,87,High,High,5,80,Female,70
16,92,Medium,High,5,85,Male,68
21,86,Low,Medium,5,51,Female,67
22,76,Medium,Medium,8,92,Female,68
16,81,Medium,Medium,8,74,Female,68
31,92,Medium,Medium,4,76,Male,72
23,75,Low,High,6,71,Male,65
13,76,Medium,High,5,99,Female,66
24,64,Medium,Medium,8,90,Male,65
14,97,Medium,Medium,6,66,Female,67
25,64,Medium,High,5,89,Male,66
27,86,Medium,Medium,7,72,Male,69
15,77,Medium,Medium,8,94,Male,66
26,76,Medium,High,6,52,Male,69
22,87,High,Low,7,68,Male,67
25,63,High,Medium,6,71,Male,66
31,84,Medium,Medium,9,87,Male,71
19,91,High,Low,6,59,Male,70
15,93,High,Medium,6,64,Male,71
15,67,Medium,Medium,7,86,Male,66
15,96,Medium,Medium,7,54,Male,67
20,86,High,Low,8,60,Female,66
22,95,Medium,High,9,88,Male,72
22,79,Medium,Medium,9,94,Male,68
25,82,Medium,Medium,6,86,Female,69
20,97,Medium,Medium,7,76,Male,71
29,96,Medium,Medium,9,55,Female,70
18,78,Medium,Medium,9,91,Female,67
36,71,Medium,Medium,6,56,Male,69
24,76,Low,High,8,69,Male,65
15,76,High,High,8,53,Male,65
14,71,Medium,Medium,8,85,Male,64
23,71,Low,Low,9,75,Male,63
19,94,Low,Medium,5,95,Male,69
24,63,Medium,Low,6,57,Female,64
23,87,High,High,8,91,Male,72
20,67,Low,Medium,7,76,Male,63
15,74,Low,High,4,68,Female,64
11,62,Medium,High,5,82,Male,64
17,71,Medium,Medium,8,90,Male,67
25,91,Medium,Medium,8,72,Male,71
21,95,Medium,Medium,5,62,Male,70
13,69,Medium,Low,9,96,Female,61
21,79,Medium,High,7,66,Male,67
22,79,High,Medium,5,100,Male,72
15,95,Low,Low,6,88,Male,66
21,91,Medium,High,5,84,Male,70
20,81,High,Medium,6,51,Male,67
13,87,High,Low,4,72,Female,67
22,94,Low,Medium,7,75,Female,71
23,60,High,Medium,8,69,Male,66
26,76,Medium,Medium,5,57,Male,68
26,96,Medium,Medium,7,68,Female,74
12,90,Medium,Low,6,54,Male,64
14,82,Medium,Medium,8,65,Male,65
23,81,Low,Medium,4,54,Male,66
23,74,Medium,High,8,88,Male,66
23,81,Medium,Low,4,84,Male,68
43,86,High,Medium,7,97,Female,78
23,77,Medium,High,6,69,Female,67
27,89,Medium,High,6,89,Male,74
26,94,Medium,High,5,79,Male,74
24,66,Medium,Low,9,82,Female,62
18,78,High,Medium,5,77,Male,66
25,76,Medium,Medium,5,89,Female,69
15,87,Medium,High,10,52,Male,68
19,70,Medium,Low,7,54,Male,89
17,86,High,Low,5,55,Male,66
20,95,Low,Medium,7,64,Female,68
34,77,Medium,Low,7,80,Male,69
9,96,Medium,Medium,4,82,Male,67
24,100,High,High,6,86,Male,75
10,64,Medium,High,7,64,Female,60
17,69,High,Medium,9,83,Female,66
27,98,Low,High,7,56,Female,73
20,98,Medium,Low,7,50,Female,68
14,64,Medium,Medium,6,85,Male,62
16,61,Medium,Medium,9,86,Male,62
